uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 18200 10000 12523 5714 6809 0.625815 0.532314 0.704279 0.213536 0.162632 0.256253 0.851354 10000
1_10 1 10 500 18300 10000 12669 5865 6804 0.62244 0.523372 0.707835 0.202944 0.146372 0.251708 0.849891 10000
1_10 1 10 500 18400 10000 12448 5716 6732 0.627458 0.516787 0.721426 0.209636 0.150477 0.259866 0.853038 10000
1_10 1 10 500 18500 10000 12598 5786 6812 0.635138 0.537625 0.717965 0.211962 0.160294 0.255847 0.84715 10000
1_10 1 10 500 18600 10000 12512 5724 6788 0.639359 0.545405 0.718586 0.209837 0.150741 0.25967 0.847849 10000
1_10 1 10 500 18700 10000 12553 5657 6896 0.642618 0.551073 0.717715 0.214172 0.162627 0.256455 0.860552 10000
1_10 1 10 500 18800 10000 12514 5708 6806 0.632308 0.535401 0.713581 0.211903 0.160073 0.255372 0.8465 10000
1_10 1 10 500 18900 10000 12686 5846 6840 0.627415 0.524649 0.715247 0.212454 0.156539 0.260243 0.851912 10000
1_10 1 10 500 19000 10000 12560 5763 6797 0.629146 0.521077 0.720774 0.210431 0.152429 0.25961 0.851395 10000
1_10 1 10 500 19100 10000 12477 5650 6827 0.644921 0.546133 0.726677 0.208268 0.151057 0.255617 0.851265 10000
1_10 1 10 500 19200 10000 12533 5604 6929 0.654863 0.552257 0.737849 0.210781 0.151806 0.258479 0.852281 10000
1_10 1 10 500 19300 10000 12551 5846 6705 0.632727 0.525369 0.726332 0.209247 0.151244 0.259819 0.855319 10000
1_10 1 10 500 19400 10000 12501 5792 6709 0.624944 0.519184 0.716248 0.210198 0.151484 0.260886 0.848904 10000
1_10 1 10 500 19500 10000 12562 5687 6875 0.644818 0.549924 0.723314 0.211923 0.155125 0.258905 0.858661 10000
1_10 1 10 500 19600 10000 12578 5907 6671 0.609249 0.503892 0.70254 0.217366 0.164395 0.26427 0.85293 10000
1_10 1 10 500 19700 10000 12501 5739 6762 0.622842 0.528042 0.703301 0.211022 0.159876 0.254431 0.850849 10000
1_10 1 10 500 19800 10000 12557 5796 6761 0.614518 0.521441 0.69431 0.214215 0.158973 0.261573 0.85586 10000
1_10 1 10 500 19900 10000 12670 5839 6831 0.617872 0.515453 0.705418 0.209984 0.152909 0.258771 0.846416 10000
1_10 1 10 500 20000 10000 12736 5901 6835 0.630155 0.526559 0.719593 0.211872 0.158475 0.257972 0.859502 10000
