uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 13700 10000 13241 5794 7447 0.629449 0.512102 0.720749 0.24605 0.182187 0.295738 0.859426 10000
1_10 1 10 500 13800 10000 13206 5815 7391 0.6239 0.51601 0.708785 0.247148 0.186552 0.294823 0.856313 10000
1_10 1 10 500 13900 10000 13265 5880 7385 0.627847 0.51577 0.717084 0.244184 0.179476 0.295704 0.861687 10000
1_10 1 10 500 14000 10000 13183 5805 7378 0.611823 0.514457 0.688429 0.25381 0.196795 0.298669 0.858233 10000
1_10 1 10 500 14100 10000 13227 5883 7344 0.624268 0.503598 0.720933 0.244771 0.17845 0.297898 0.85844 10000
1_10 1 10 500 14200 10000 13195 5788 7407 0.637762 0.534542 0.71842 0.244383 0.181102 0.293832 0.863182 10000
1_10 1 10 500 14300 10000 13127 5681 7446 0.634106 0.532886 0.711333 0.246937 0.182737 0.295919 0.855254 10000
1_10 1 10 500 14400 10000 13220 5802 7418 0.630668 0.520279 0.717009 0.248982 0.187941 0.296724 0.859506 10000
1_10 1 10 500 14500 10000 13178 5712 7466 0.647562 0.552101 0.720596 0.247317 0.187102 0.293386 0.85838 10000
1_10 1 10 500 14600 10000 13169 5757 7412 0.634197 0.5319 0.713653 0.246401 0.187723 0.291977 0.860496 10000
1_10 1 10 500 14700 10000 13131 5737 7394 0.633935 0.531481 0.713428 0.250996 0.189136 0.298994 0.857478 10000
1_10 1 10 500 14800 10000 13078 5651 7427 0.646411 0.543255 0.7249 0.251722 0.188555 0.299784 0.859148 10000
1_10 1 10 500 14900 10000 13229 5818 7411 0.628336 0.516454 0.71617 0.244103 0.175511 0.297952 0.855253 10000
1_10 1 10 500 15000 10000 13276 5783 7493 0.639085 0.527795 0.724977 0.242397 0.173885 0.295273 0.860672 10000
1_10 1 10 500 15100 10000 13146 5790 7356 0.630665 0.521046 0.716948 0.247744 0.18552 0.296721 0.858238 10000
1_10 1 10 500 15200 10000 13239 5874 7365 0.622821 0.507228 0.715013 0.246636 0.185246 0.295599 0.8606 10000
1_10 1 10 500 15300 10000 13170 5716 7454 0.633892 0.529623 0.713849 0.24887 0.18798 0.295563 0.857896 10000
1_10 1 10 500 15400 10000 13171 5775 7396 0.636117 0.533643 0.716131 0.246957 0.188938 0.29226 0.859211 10000
